Ricklefs_lab_ID,lineage,status,elevation,year,location,lon,lat,lineage,sequenced
PNG_10_1171,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1172,Toxorhamphus_novaeguineae,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1174,Melanocharis_nigra,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1175,Ptilorrhoa_caerulescens,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1176,Pitta_erythrogaster,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1177,Pitta_sordida,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1178,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1179,Sericornis_spilodera,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_118,Pachycephala_schlegelii,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_1180,Monarcha_guttula,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_1181,Monarcha_manadensis,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1182,Peneothello_bimaculatus,1,390,2010,Nanaiya_1_Camp,146.864,-5.963,Haemoproteus,yes
PNG_10_1183,Pachycephala_hyperythra,0,390,2010,Nanaiya_1_Camp,146.864,-5.963,NA,no
PNG_10_119,Myzomela_rosenbergii,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_12,Peneothello_cyanus,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_120,Sericornis_perspicillatus,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_121,Sericornis_perspicillatus,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_122,Melanocharis_versteri,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_123,Ptiloprora_guisei,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_124,Ptiloprora_guisei,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_125,Microeca_papuana,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_126,Melanocharis_versteri,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_127,Melanocharis_versteri,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_128,Sericornis_papuensis,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_129,Eugerygone_rubra,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_13,Ifrita_kowaldi,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_130,Pachycephala_schlegelii,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_131,Pitohui_nigrescens,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_132,Crateroscelis_robusta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_133,Ifrita_kowaldi,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_134,Ifrita_kowaldi,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_135,Ifrita_kowaldi,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_136,Pitohui_nigrescens,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_137,Melanocharis_versteri,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_139,Pachycephala_schlegelii,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_14,Amalocichla_incerta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_140,Pachycephala_schlegelii,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_141,Crateroscelis_robusta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_142,Crateroscelis_robusta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_143,Ptilorrhoa_leucosticta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_144,Rhagologus_leucostigma,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_145,Crateroscelis_robusta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_146,Sericornis_papuensis,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_147,Microeca_papuana,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_148,Sericornis_nouhuysi,0,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,NA,no
PNG_10_149,Sericornis_nouhuysi,0,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,NA,no
PNG_10_15,Peneothello_cyanus,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_150,Crateroscelis_robusta,0,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,NA,no
PNG_10_151,Sericornis_nouhuysi,0,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,NA,no
PNG_10_152,Heteromyias_albispecularis,0,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,NA,no
PNG_10_153,Heteromyias_albispecularis,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,Haemoproteus,yes
PNG_10_154,Heteromyias_albispecularis,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,Haemoproteus,yes
PNG_10_155,Heteromyias_albispecularis,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,Haemoproteus,yes
PNG_10_156,Heteromyias_albispecularis,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,Haemoproteus,yes
PNG_10_157,Heteromyias_albispecularis,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,Haemoproteus,yes
PNG_10_158,Heteromyias_albispecularis,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,Haemoproteus,yes
PNG_10_159,Pachycephala_rufinucha,0,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,NA,no
PNG_10_16,Ptiloprora_guisei,1,2420,2010,CL_12_(Youngurong_Camp),146.8424,-6.0184,Haemoproteus,yes
PNG_10_160,Melanocharis_versteri,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,NA,no
PNG_10_161,Melanocharis_crassirostris,1,2150,2010,Camp_11_(Gamben_Wagain),146.8238,-6.0038,Haemoproteus,yes
