Host.Family,BLFamilyLatin,species_clean,species_jetz,Lice.Species,Lice.Species2,Lice.Species3,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,saviti?,,,1,midhigh,lowland_manu,Tangara_schrankii,P110137,Lice.Genus2,
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,saviti?,,,1,midhigh,lowland_manu,Tangara_schrankii,P110373,Lice.Genus2,
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,saviti?,,,1,midhigh,lowland_manu,Tangara_schrankii,P110137,Lice.Genus3,
Thraupidae,Thraupidae,Tangara schrankii,Tangara schrankii,saviti?,,,1,midhigh,lowland_manu,Tangara_schrankii,P110373,Lice.Genus3,
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP120666,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP121081,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP121138,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP121308,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,TL120104,Lice.Genus,Myrsidea
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP120666,Lice.Genus2,
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP121081,Lice.Genus2,
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP121138,Lice.Genus2,
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,SP121308,Lice.Genus2,
Thraupidae,Thraupidae,Tangara arthus,Tangara arthus,(various species?),,,1,midhigh,montane_manu,Tangara_arthus,TL120104,Lice.Genus2,
