,sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks
137,116295,P11,6295,P116295,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,0,0,0,0
138,116299,P11,6299,P116299,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,0,0,0,0
139,116302,P11,6302,P116302,Schiffornis_turdina,Schiffornis turdina,Schiffornis_turdina,Cotingidae,0,30.18625,lowland_manu,understory,low,876,0,0,0,0
140,116324,P11,6324,P116324,Platyrinchus_platyrhynchos,Platyrinchus platyrhynchos,Platyrinchus_platyrhynchos,Tyrannidae,0,12.27526316,lowland_manu,midhigh,low,421.5,0,0,0,0
141,116360,P11,6360,P116360,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,0,1,0
142,116369,P11,6369,P116369,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,low,892,0,0,0,0
143,116378,P11,6378,P116378,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,0,0,0,0
144,116380,P11,6380,P116380,Hylophilus_ochraceiceps,Tunchiornis ochraceiceps,Hylophilus_ochraceiceps,Vireonidae,1,11.72933333,lowland_manu,understory,low,892,0,0,0,0
145,116411,P11,6411,P116411,Corythopis_torquatus,Corythopis torquatus,Corythopis_torquatus,Tyrannidae,0,17.01754717,lowland_manu,ground,med,419,0,0,0,0
146,116420,P11,6420,P116420,Glyphorynchus_spirurus,Glyphorynchus spirurus,Glyphorynchus_spirurus,Dendrocolaptidae,1,15.41370221,lowland_manu,canopy,low,421,0,0,0,0
