Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Genus,Mite.Genus2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_iquitos,Willisornis_poecilinotus,V386,Mite.Group2,
Thamnophilidae,Thamnophilidae,Willisornis poecilinotus,Willisornis poecilinotus,,,0,ground,lowland_manu,Willisornis_poecilinotus,P121499,Mite.Group2,Mesostigmatid
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_iquitos,Turdus_albicollis,M581,Mite.Group,Feather
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_manu,Turdus_albicollis,P110166,Mite.Group,Feather
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_manu,Turdus_albicollis,P110334,Mite.Group,Feather
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_manu,Turdus_albicollis,P110144,Mite.Group,Feather 
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_iquitos,Turdus_albicollis,M581,Mite.Group2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_manu,Turdus_albicollis,P110166,Mite.Group2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_manu,Turdus_albicollis,P110334,Mite.Group2,Trombiculid
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,,,0,ground,lowland_manu,Turdus_albicollis,P110144,Mite.Group2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP110004,Mite.Group,Feather
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP110038,Mite.Group,Feather
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP110320,Mite.Group,Feather
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP120062,Mite.Group,Feather
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP120670,Mite.Group,Feather
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,,,1,other,montane_manu,Trichothraupis_melanops,SP121022,Mite.Group,Feather
