sample,Sample_label,Sample_No,Full_Label,species_jetz,species_clean,species_binomial,family,sociality,mass_tidy,elevation_cat,foraging_cat,Powder.lvl,elevation_midpoint,ectoparasites_PA,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,X.y,ectoparasite_code,species,species_taxonomy_SACC_2021,jetz_species,elevation_all_years,net_elevation,elevation_extrapolated_date,elevation_midpoint,Species_parameters,Station
115976,,P115976,P115976,Lanio_versicolor,Lanio versicolor,Lanio_versicolor,Thraupidae,1,19.76205128,lowland_manu,canopy,low,438,1,1,1,0,20,5,2,13,0,40,16,16,Lanio_versicolor,38,10_8_2011_pantiacolla_Lanio versicolor,Lanio versicolor,Lanio versicolor,Lanio versicolor,397,NA,397,438,Lanio versicolor,pantiacolla
115979,,P115979,P115979,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,med,430,1,0,1,0,0,0,0,0,0,14,1,1,Thamnomanes_schistogynus,46,11_8_2011_pantiacolla_Thamnomanes schistogynus,Thamnomanes schistogynus,Thamnomanes schistogynus,Thamnomanes schistogynus,397,NA,397,430,Thamnomanes schistogynus,pantiacolla
116000,,P116000,P116000,Thamnomanes_schistogynus,Thamnomanes schistogynus,Thamnomanes_schistogynus,Thamnophilidae,1,17.905,lowland_manu,midhigh,low,430,1,0,1,0,0,0,0,0,0,37,0,0,Thamnomanes_schistogynus,48,11_8_2011_pantiacolla_Thamnomanes schistogynus,Thamnomanes schistogynus,Thamnomanes schistogynus,Thamnomanes schistogynus,397,NA,397,430,Thamnomanes schistogynus,pantiacolla
116031,,P116031,P116031,Myrmotherula_hauxwelli,Isleria hauxwelli,Isleria_hauxwelli,Thamnophilidae,1,11.27941606,lowland_manu,other,low,415,0,0,0,0,0,0,0,0,0,0,0,0,NA,4197,14_8_2011_pantiacolla_Myrmotherula hauxwelli,NA,NA,NA,NA,NA,415,415,Myrmotherula hauxwelli,pantiacolla
116087,,P116087,P116087,Willisornis_poecilinotus,Willisornis poecilinotus,Willisornis_poecilinotus,Thamnophilidae,0,18.39630137,lowland_manu,ground,low,419,1,0,1,0,0,0,0,0,0,6,0,0,Willisornis_poecilinotus,102,15_8_2011_pantiacolla_Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,Willisornis poecilinotus,415,NA,415,419,Willisornis poecilinotus,pantiacolla
110167,P11,167,P110167,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,low,417,0,0,0,0,0,0,0,0,0,0,0,0,NA,539,11_10_2011_pantiacolla_Monasa morphoeus,Monasa morphoeus,Monasa morphoeus,Monasa morphoeus,413,NA,413,417,Monasa morphoeus,pantiacolla
116337,P11,6337,P116337,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,med,417,0,0,0,0,0,0,0,0,0,0,0,0,NA,286,29_8_2011_pantiacolla_Monasa morphoeus,Monasa morphoeus,Monasa morphoeus,Monasa morphoeus,385,NA,385,417,Monasa morphoeus,pantiacolla
116338,P11,6338,P116338,Monasa_morphoeus,Monasa morphoeus,Monasa_morphoeus,Bucconidae,1,73.41272727,lowland_manu,ground-midhigh,low,417,0,0,0,0,0,0,0,0,0,0,0,0,NA,287,29_8_2011_pantiacolla_Monasa morphoeus,Monasa morphoeus,Monasa morphoeus,Monasa morphoeus,385,NA,385,417,Monasa morphoeus,pantiacolla
116435,P11,6435,P116435,Lepidothrix_coronata,Lepidothrix coronata,Lepidothrix_coronata,Pipridae,1,9.769768786,lowland_manu,undersory-midhigh,med,417.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,373,4_9_2011_pantiacolla_Monasa nigrifrons,Monasa nigrifrons,Monasa nigrifrons,Monasa nigrifrons,397,NA,397,417.5,Monasa nigrifrons,pantiacolla
120740,P12,740,P120740,Malacoptila_semicincta,Malacoptila semicincta,Malacoptila_semicincta,Bucconidae,0,45.21722222,lowland_manu,ground-midhigh,very low,494.5,0,0,0,0,0,0,0,0,0,0,0,0,NA,1114,2_7_2012_pantiacolla_Malacoptila semicincta,Malacoptila semicincta,Malacoptila semicincta,Malacoptila semicincta,NA,NA,NA,494,Malacoptila semicincta,pantiacolla
120863,P12,863,P120863,Pipra_chloromeros,Ceratopipra chloromeros,Ceratopipra _chloromeros,Pipridae,1,16.72324324,lowland_manu,undersory-midhigh,very low,416,0,0,0,0,0,0,0,0,0,0,0,0,NA,4441,15_8_2012_pantiacolla_Pipra chloromeros,NA,NA,NA,NA,NA,415,416,Pipra chloromeros,pantiacolla
120872,P12,872,P120872,Monasa_nigrifrons,Monasa nigrifrons,Monasa_nigrifrons,Bucconidae,1,80.46733333,lowland_manu,other,low,409,0,0,0,0,0,0,0,0,0,0,0,0,NA,1158,15_8_2012_pantiacolla_Monasa nigrifrons,Monasa nigrifrons,Monasa nigrifrons,Monasa nigrifrons,NA,NA,415,409,Monasa nigrifrons,pantiacolla
