"","species_jetz","low_limit","high_limit","species_taxonomy_SACC_2021","flocking","species_from_detections"
"254","Trogon_violaceus",395,1090,"Trogon_violaceus","yes","Trogon violaceus"
"255","Trogon_viridis",403,878,"Trogon_viridis","yes","Trogon viridis"
"256","Turdus_nigriceps",837,1884,"Turdus_nigriceps","yes","Turdus nigriceps"
"257","Veniliornis_nigriceps",2527,2964,"Dryobates_nigriceps","yes","Veniliornis nigriceps"
"258","Vireo_leucophrys",402,2576,"Vireo_leucophrys","yes","Vireo leucophrys"
"259","Vireo_olivaceus",407,1024,"Vireo_olivaceus","yes","Vireo olivaceus"
"260","Xenopipo_holochlora",385,853,"Cryptopipo_holochlora","yes","Xenopipo holochlora"
"261","Xenopipo_unicolor",1514,1724,"Chloropipo_unicolor","yes","Xenopipo unicolor"
"262","Xenops_minutus",385,1320,"Xenops_minutus","yes","Xenops minutus"
"263","Xenops_rutilans",404,1302,"Xenops_rutilans","yes","Xenops rutilans"
"264","Xenops_tenuirostris",397,648,"Xenops_tenuirostris","yes","Xenops tenuirostris"
"265","Xiphocolaptes_promeropirhynchus",397,3049,"Xiphocolaptes_promeropirhynchus","yes","Xiphocolaptes promeropirhynchus"
"266","Xiphorhynchus_elegans",381,1099,"Xiphorhynchus_elegans","yes","Xiphorhynchus elegans"
"267","Xiphorhynchus_guttatus",381,1129,"Xiphorhynchus_guttatus","yes","Xiphorhynchus guttatus"
"268","Xiphorhynchus_ocellatus",381,1780,"Xiphorhynchus_ocellatus","yes","Xiphorhynchus ocellatus"
"269","Xiphorhynchus_triangularis",1050,2728,"Xiphorhynchus_triangularis","yes","Xiphorhynchus triangularis"
"270","Zimmerius_bolivianus",1095,2901,"Zimmerius_bolivianus","yes","Zimmerius bolivianus"
