species_jetz,sociality,Powder.lvl,elevation,total_parasites
Iridosornis_jelskii,1,med,2859,10
Chlorornis_riefferii,1,med,2728,7
Anisognathus_igniventris,1,med,2932,16
Iridosornis_jelskii,1,low,2859,2
Iridosornis_jelskii,1,high,2859,0
Iridosornis_jelskii,1,med,2859,189
Arremon_torquatus,1,low,2742,2
Arremon_torquatus,1,low,2742,38
Arremon_torquatus,1,low,2742,22
Myioborus_melanocephalus,1,low,2578,9
Iridosornis_jelskii,1,low,2859,41
Iridosornis_jelskii,1,high,2859,53
Iridosornis_jelskii,1,high,2859,115
Chlorornis_riefferii,1,med,2728,191
Chlorornis_riefferii,1,med,2728,27
Iridosornis_jelskii,1,high,2859,47
Leptopogon_amaurocephalus,1,low,417,2
Iridosornis_jelskii,1,med,2859,19
Leptopogon_amaurocephalus,1,low,417,5
Lanio_versicolor,1,low,438,2
Lepidothrix_coronata,1,low,417.5,1
Leptopogon_amaurocephalus,1,low,417,24
Leptopogon_amaurocephalus,1,low,417,1
Leptopogon_amaurocephalus,1,low,417,0
Anisognathus_igniventris,1,med,2932,132
Lophotriccus_pileatus,0,low,1384.5,2
Leptopogon_amaurocephalus,1,low,417,7
Leptopogon_amaurocephalus,1,low,417,26
Leptopogon_amaurocephalus,1,low,417,25
Leptopogon_amaurocephalus,1,low,417,17
Leptopogon_amaurocephalus,1,low,417,4
Microcerculus_marginatus,0,very low,754,0
Leptopogon_amaurocephalus,1,low,417,5
Leptopogon_amaurocephalus,1,low,417,1
Microcerculus_marginatus,0,low,754,71
Leptopogon_amaurocephalus,1,low,417,0
Leptopogon_amaurocephalus,1,low,417,8
Leptopogon_amaurocephalus,1,low,417,0
Leptopogon_amaurocephalus,1,high,417,3
Pipra_fasciicauda,1,low,413,14
Mionectes_macconnelli,1,low,414,1
Habia_rubica,1,low,413,19
Lepidothrix_coronata,1,low,417.5,8
Momotus_momota,0,low,429,1
Mionectes_macconnelli,1,high,414,268
Habia_rubica,1,low,413,6
Mionectes_macconnelli,1,med,414,75
Mionectes_macconnelli,1,low,414,17
Geotrygon_montana,0,high,426,2
Geotrygon_montana,0,med,426,56
Lepidothrix_coronata,1,med,417.5,2
Psarocolius_angustifrons,0,med/high,537,3
Lepidothrix_coronata,1,low,417.5,3
Habia_rubica,1,low,413,49
Momotus_momota,0,med,429,1
Habia_rubica,1,low,413,33
Mionectes_olivaceus,1,low,1262,0
