species,low_limit,high_limit
Micromonacha_lanceolata,760.8903,1229.796382
Microrhopias_quixensis,380.9074699,1185.003847
Mionectes_macconnelli,380.0000471,533.9964236
Mionectes_oleagineus,380.0000471,637.0630182
Mionectes_olivaceus,380.0000727,1229.796382
Mionectes_striaticollis,392.9517686,1229.796382
Myadestes_ralloides,584.7768255,1229.796382
Myiarchus_tuberculifer,858.0607279,1229.796382
Myiobius_barbatus,380.0000471,504.430549
Myiobius_villosus,757.8127699,1229.796382
Myioborus_miniatus,948.8839456,1229.796382
Myiodynastes_chrysocephalus,695.1247549,1229.796382
Myiophobus_inornatus,1047.550957,1229.796382
Myiotheretes_striaticollis,572.5914365,1229.796382
Myiothlypis_bivittata,851.4302539,1229.796382
Myiothlypis_chrysogaster,614.0064834,1154.003735
Myiothlypis_fulvicauda,380.0000471,715.2676102
Myiotriccus_ornatus,772.9249806,1173.251812
Myrmelastes_brunneiceps,380.0000471,746.5097098
Myrmelastes_leucostigma,555.8201003,1229.796382
Myrmoborus_leucophrys,380,1130.37757
Myrmoborus_lophotes,380,1158.186905
Myrmoborus_myotherinus,380.0000471,747.5128609
Myrmotherula_axillaris,380.0000471,534.2222829
Myrmotherula_brachyura,380.0000471,776.2948127
Myrmotherula_longicauda,969.1766003,1229.796382
Myrmotherula_menetriesii,380.0000471,553.0720514
Odontorchilus_branickii,1054.360323,1229.796382
Oneillornis_salvini,380.0000471,508.6982498
Pachysylvia_hypoxantha,380.0000471,636.6950575
Pharomachrus_antisianus,1182.215293,1229.796382
Pheugopedius_genibarbis,686.3796686,1229.796382
Phylloscartes_ophthalmicus,1091.738989,1229.796382
Phylloscartes_parkeri,906.3864988,1229.796382
Piaya_cayana,380,1229.796382
Pipra_fasciicauda,380.0000471,531.4677202
Platyrinchus_mystaceus,1165.561065,1229.796382
Premnoplex_brunnescens,1208.144092,1229.796382
Psarocolius_angustifrons,380.0000471,1229.796382
Psarocolius_atrovirens,826.9226086,1229.796382
Psarocolius_bifasciatus,380.0000471,772.4584179
Psarocolius_decumanus,380,1229.796382
Pyriglena_leuconota,1036.267373,1229.796382
Ramphocelus_carbo,380.0000471,1229.796382
Ramphotrigon_megacephalum,502.5432852,1050.192956
Rhegmatorhina_melanosticta,380,1011.101573
Rhynchocyclus_fulvipectus,1213.616063,1229.796382
Rupicola_peruvianus,934.437731,1229.796382
Saltator_grossus,380.0000471,737.1027516
Saltator_maximus,380,1229.796382
Sayornis_nigricans,1053.094281,1229.796382
Schiffornis_turdina,506.2266987,1151.991913
Sciaphylax_hemimelaena,380,1212.630708
Serpophaga_cinerea,1187.203344,1229.796382
Setophaga_pitiayumi,1080.026961,1229.796382
Spinus_magellanicus,803.5929157,1229.796382
Stilpnia_cyanicollis,1024.900513,1229.796382
Synallaxis_cabanisi,380,1229.796382
Syndactyla_ucayalae,380.0000471,1193.242248
Tangara_arthus,1045.821849,1229.796382
Tangara_chilensis,380,1229.796382
Tangara_gyrola,380,1229.796382
Tangara_nigroviridis,1148.378265,1229.796382
Tangara_schrankii,380.0000471,630.5838781
Tangara_xanthocephala,1131.658577,1229.796382
Thamnomanes_ardesiacus,380.0000471,525.366705
Thamnomanes_schistogynus,380.0000471,782.9777507
Thamnophilus_palliatus,941.374244,1229.796382
Thamnophilus_schistaceus,380.0000471,848.7361562
Thraupis_episcopus,843.0812738,1229.796382
Thripadectes_holostictus,1062.046162,1229.796382
Thripadectes_melanorhynchus,1172.932239,1229.796382
Tolmomyias_assimilis,380.0000471,1052.482392
Trichothraupis_melanops,1110.518413,1229.796382
Troglodytes_aedon,380.0000471,1229.796382
Trogon_collaris,380.0000471,868.0642237
Trogon_curucui,380,1178.485309
Trogon_melanurus,380.0000471,699.243252
Trogon_violaceus,380.0000471,922.6705655
Tunchiornis_ochraceiceps,380,1108.271481
Turdus_hauxwelli,380,1229.796382
Turdus_ignobilis,380.0000471,988.206604
Turdus_leucops,1109.493791,1229.796382
Turdus_nigriceps,757.3182765,1229.796382
Tyrannus_melancholicus,866.4812135,1229.796382
Vireo_leucophrys,380,1229.796382
Xenops_minutus,380.0000471,656.6093798
Xiphorhynchus_elegans,380.0000471,556.9725997
Xiphorhynchus_guttatus,380.0000471,741.2686403
Xiphorhynchus_ocellatus,501.1134514,1229.796382
Xiphorhynchus_triangularis,1191.532111,1229.796382
Zimmerius_bolivianus,926.8364841,1229.796382
Arremon_torquatus,2663.895454,2950.028239
Asthenes_helleri,2730.919101,3085.478069
Atlapetes_melanolaemus,2663.895454,3043.105712
Buthraupis_montana,2663.895454,3085.478069
Cacicus_chrysonotus,2663.895454,3073.464555
Catamblyrhynchus_diadema,2663.895454,2924.456854
Catharus_maculatus,2663.895454,2736.859945
Chlorornis_riefferii,2663.895454,3084.289006
Cinnycerthia_fulva,2663.895454,2965.743422
Cnemoscopus_rubrirostris,2663.895454,2945.008408
Colaptes_rivolii,2663.895454,3013.891037
Conirostrum_albifrons,2663.895454,2955.875979
Contopus_fumigatus,2663.895454,3085.478069
Cranioleuca_marcapatae,2663.895454,2895.891164
Cyanolyca_viridicyanus,2663.895454,2972.828212
Dendrocincla_tyrannina,2663.895454,2928.223112
Diglossa_brunneiventris,2674.377858,3058.565164
Diglossa_cyanea,2663.895454,3085.478069
Diglossa_mystacalis,2685.341445,3085.478069
Dubusia_castaneoventris,2663.895454,3085.478069
Elaenia_pallatangae,2663.895454,3055.392993
Haplospiza_rustica,2663.895454,3085.478069
Hemitriccus_granadensis,2663.895454,3085.478069
Iridosornis_jelskii,2663.895454,3085.478069
Kleinothraupis_atropileus,2663.895454,2979.236886
Lepidocolaptes_lacrymiger,2663.895454,2849.993654
Margarornis_squamiger,2663.895454,3085.478069
Mecocerculus_leucophrys,2663.895454,3085.478069
Mecocerculus_stictopterus,2663.895454,3085.478069
Mionectes_striaticollis,2663.895454,3085.478069
Myadestes_ralloides,2663.895454,2959.142628
Myiarchus_tuberculifer,2663.895454,3085.478069
Myioborus_melanocephalus,2663.895454,3053.067458
Myiotheretes_fuscorufus,2663.895454,3074.14123
Myiotheretes_striaticollis,2663.895454,3085.478069
Myiothlypis_luteoviridis,2663.895454,2995.830535
Myiothlypis_signata,2663.895454,2922.600998
Nephelomyias_ochraceiventris,2663.895454,3085.478069
Ochthoeca_cinnamomeiventris,2663.895454,3085.478069
Ochthoeca_pulchella,2663.895454,2952.158076
