"","species_pair","species","species2","low_limit","high_limit"
"145","Thamnophilus.palliatus&Dysithamnus.mentalis","Thamnophilus.palliatus","Dysithamnus.mentalis",941.374244,1450.684489
"146","Thamnophilus.schistaceus&Dysithamnus.mentalis","Thamnophilus.schistaceus","Dysithamnus.mentalis",583.0497077,848.7361562
"147","Akletos.goeldii&Epinecrophylla.ornata","Akletos.goeldii","Epinecrophylla.ornata",478.8607096,816.2073002
"148","Cercomacra.manu&Epinecrophylla.ornata","Cercomacra.manu","Epinecrophylla.ornata",478.8607096,1047.448962
"149","Cercomacroides.serva&Epinecrophylla.ornata","Cercomacroides.serva","Epinecrophylla.ornata",478.8607096,1566.929409
"150","Cymbilaimus.sanctaemariae&Epinecrophylla.ornata","Cymbilaimus.sanctaemariae","Epinecrophylla.ornata",478.8607096,1161.333136
"151","Drymophila.caudata&Epinecrophylla.ornata","Drymophila.caudata","Epinecrophylla.ornata",1432.910889,1627.628265
"152","Dysithamnus.mentalis&Epinecrophylla.ornata","Dysithamnus.mentalis","Epinecrophylla.ornata",583.0497077,1627.628265
"153","Epinecrophylla.spodionota&Epinecrophylla.ornata","Epinecrophylla.spodionota","Epinecrophylla.ornata",854.8672431,1423.114472
"154","Hafferia.fortis&Epinecrophylla.ornata","Hafferia.fortis","Epinecrophylla.ornata",478.8607096,613.5858084
"155","Herpsilochmus.axillaris&Epinecrophylla.ornata","Herpsilochmus.axillaris","Epinecrophylla.ornata",920.4601664,1590.139445
"156","Hylophylax.naevius&Epinecrophylla.ornata","Hylophylax.naevius","Epinecrophylla.ornata",478.8607096,1288.421472
"157","Hypocnemis.subflava&Epinecrophylla.ornata","Hypocnemis.subflava","Epinecrophylla.ornata",478.8607096,1437.704218
"158","Microrhopias.quixensis&Epinecrophylla.ornata","Microrhopias.quixensis","Epinecrophylla.ornata",478.8607096,1185.003847
"159","Myrmelastes.brunneiceps&Epinecrophylla.ornata","Myrmelastes.brunneiceps","Epinecrophylla.ornata",478.8607096,746.5097098
"160","Myrmelastes.leucostigma&Epinecrophylla.ornata","Myrmelastes.leucostigma","Epinecrophylla.ornata",555.8201003,1419.427474
