,species_from_detections,species_taxonomy_SACC_2021,n,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,X2010.IUCN.Red.List.category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,n.y,notes_taxonomy.x.y,missmatches,status,X
388,Thlypopsis sordida,Thlypopsis sordida,26,Thlypopsis sordida,Thlypopsis sordida,NA,12863,Thlypopsis_sordida,P13P14P16,"Tanagers II, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Allies","Tanagers, Flowerpiercers, Conebills, Seedeaters, Warbling-finches, Grosbeaks, Saltators, Allies",Orange-headed Tanager,bow12863,LC,BL3,Thraupidae,Tanagers,193,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
389,Elaenia gigas,Elaenia gigas,3,Elaenia gigas,Elaenia gigas,NA,5882,Elaenia_gigas,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Mottle-backed Elaenia,bow05882,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
390,Troglodytes aedon,Troglodytes aedon,64,Troglodytes aedon,Troglodytes aedon,NA,9753,Troglodytes_aedon,M1,"Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers",House Wren,bow09753,LC,BL3,Troglodytidae,Wrens,162,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,include,
391,Grallaria guatimalensis,Grallaria guatimalensis,59,Grallaria guatimalensis,Grallaria guatimalensis,NA,6979,Grallaria_guatimalensis,Antpittas,Antpittas,"Antpittas, Tapaculos",Scaled Antpitta,bow06979,LC,BL3,Formicariidae,Antthrushes and antpittas,109,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
392,Xenopipo unicolor,Chloropipo unicolor,2,Xenopipo unicolor,Xenopipo unicolor,REV_TAX,6375,Xenopipo_unicolor,Pipridae,Manakins,Manakins,Jet Manakin,bow06375,LC,BL3,Pipridae,Manakins,103,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
393,Accipiter striatus,Accipiter striatus,12,Accipiter striatus,Accipiter striatus,NA,4755,Accipiter_striatus,Accipitridae,"Hawks, Eagles, Secretarybird","Hawks, Eagles, Secretarybird",Sharp-shinned Hawk,bow04755,LC,BL3,Accipitridae,"Osprey, kites, hawks and eagles",36,ACCIPITRIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
394,Sayornis nigricans,Sayornis nigricans,46,Sayornis nigricans,Sayornis nigricans,NA,6054,Sayornis_nigricans,TitTyranRest,"Tyrant-Flycatchers, Cotingas, Allies","Tyrant-Flycatchers, Cotingas, Allies",Black Phoebe,bow06054,LC,BL3,Tyrannidae,Tyrant-flycatchers,105,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
395,Conopophaga castaneiceps,Conopophaga castaneiceps,4,Conopophaga castaneiceps,Conopophaga castaneiceps,NA,7031,Conopophaga_castaneiceps,Conopophagidae,"Gnateaters, Allies","Gnateaters, Allies",Chestnut-crowned Gnateater,bow07031,LC,BL3,Conopophagidae,Gnateaters,107,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
396,Micromonacha lanceolata,Micromonacha lanceolata,17,Micromonacha lanceolata,Micromonacha lanceolata,NA,1275,Micromonacha_lanceolata,Bucconidae,Puffbirds,"Puffbirds, Jacamars",Lanceolated Monklet,bow01275,LC,BL3,Bucconidae,Puffbirds,97,PICIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,include,
397,Cephalopterus ornatus,Cephalopterus ornatus,5,Cephalopterus ornatus,Cephalopterus ornatus,NA,6322,Cephalopterus_ornatus,Cotingidae,Cotingas,Cotingas,Amazonian Umbrellabird,bow06322,LC,BL3,Cotingidae,Cotingas,104,PASSERIFORMES,PASSERIFORMES,Tyranni,NA,NA,NA,include,
