Host.Family,BLFamilyLatin,species_clean,species_jetz,sociality,foraging_cat,elevation_cat,TipLabel,Full_Label,keycol,valuecol
Furnariidae,Furnariidae,Premnoplex brunnescens,Premnoplex brunnescens,1,understory,lowland_iquitos,Premnoplex_brunnescens,SP120998,Lice.Genus,Rallicola?
Furnariidae,Furnariidae,Premnoplex brunnescens,Premnoplex brunnescens,1,understory,lowland_iquitos,Premnoplex_brunnescens,SP121023,Lice.Genus,Rallicola?
Cotingidae,Cotingidae,Pipreola intermedia,Pipreola intermedia,1,ground-understory,lowland_iquitos,Pipreola_intermedia,W121017,Lice.Genus,Menacanthus
Cotingidae,Cotingidae,Pipreola intermedia,Pipreola intermedia,1,ground-understory,lowland_iquitos,Pipreola_intermedia,W121018,Lice.Genus,Philopteridae?
Cotingidae,Cotingidae,Pipreola arcuata,Pipreola arcuata,0,ground-understory,lowland_iquitos,Pipreola_arcuata,W120617,Lice.Genus,Pseudocophorus
Cotingidae,Cotingidae,Pipreola arcuata,Pipreola arcuata,0,ground-understory,lowland_iquitos,Pipreola_arcuata,W120650,Lice.Genus,Pseudocophorus
Cotingidae,Cotingidae,Pipreola arcuata,Pipreola arcuata,0,ground-understory,lowland_iquitos,Pipreola_arcuata,W120717,Lice.Genus,Pseudocophorus
Cotingidae,Cotingidae,Pipreola arcuata,Pipreola arcuata,0,ground-understory,lowland_iquitos,Pipreola_arcuata,W120722,Lice.Genus,Pseudocophorus
Cotingidae,Cotingidae,Pipreola arcuata,Pipreola arcuata,0,ground-understory,lowland_iquitos,Pipreola_arcuata,W120737,Lice.Genus,Pseudocophorus
Cotingidae,Cotingidae,Pipreola arcuata,Pipreola arcuata,0,ground-understory,lowland_iquitos,Pipreola_arcuata,W130408,Lice.Genus,Pseudocophorus?
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110098,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110133,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110228,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110320,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110368,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P115952,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116012,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110124,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116121,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116111,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116022,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110028,Lice.Genus,Myrsidea
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110090,Lice.Genus,Philopteridae
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116014,Lice.Genus,Philopteridae
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110324,Lice.Genus,Philopterus-like
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110193,Lice.Genus,Philopterus-like
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P115964,Lice.Genus,Philopterus-like
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P110103,Lice.Genus,Ricinus
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P115956,Lice.Genus,Ricinus
Pipridae,Pipridae,Pipra fasciicauda,Pipra fasciicauda,1,ground-understory,lowland_iquitos,Pipra_fasciicauda,P116012,Lice.Genus2,Philopteridae
