"","species_taxonomy_SACC_2021","deg_weighted","species","species_jetz","TipLabel"
"165","Myrmoborus_lophotes",0.600269274376417,"Percnostola lophotes","Percnostola lophotes","Percnostola_lophotes"
"166","Myrmoborus_myotherinus",5.59517962746785,"Myrmoborus myotherinus","Myrmoborus myotherinus","Myrmoborus_myotherinus"
"167","Myrmotherula_axillaris",7.66199082912847,"Myrmotherula axillaris","Myrmotherula axillaris","Myrmotherula_axillaris"
"168","Myrmotherula_brachyura",8.57314312001412,"Myrmotherula brachyura","Myrmotherula brachyura","Myrmotherula_brachyura"
"169","Myrmotherula_longicauda",2.39552728388046,"Myrmotherula longicauda","Myrmotherula longicauda","Myrmotherula_longicauda"
"170","Myrmotherula_longipennis",8.22594601481011,"Myrmotherula longipennis","Myrmotherula longipennis","Myrmotherula_longipennis"
"171","Myrmotherula_menetriesii",6.87456708428141,"Myrmotherula menetriesii","Myrmotherula menetriesii","Myrmotherula_menetriesii"
"172","Myrmotherula_multostriata",2.51289672775127,"Myrmotherula multostriata","Myrmotherula multostriata","Myrmotherula_multostriata"
"173","Myrmotherula_schisticolor",2.50040442627711,"Myrmotherula schisticolor","Myrmotherula schisticolor","Myrmotherula_schisticolor"
"174","Nephelomyias_ochraceiventris",3.15985635425159,"Myiophobus ochraceiventris","Myiophobus ochraceiventris","Myiophobus_ochraceiventris"
"175","Ochthoeca_rufipectoralis",1.47968903008358,"Ochthoeca rufipectoralis","Ochthoeca rufipectoralis","Ochthoeca_rufipectoralis"
"176","Odontorchilus_branickii",6.58694998949747,"Odontorchilus branickii","Odontorchilus branickii","Odontorchilus_branickii"
"177","Pachyramphus_minor",5.12715692262312,"Pachyramphus minor","Pachyramphus minor","Pachyramphus_minor"
"178","Pachyramphus_polychopterus",1.71613627564847,"Pachyramphus polychopterus","Pachyramphus polychopterus","Pachyramphus_polychopterus"
"179","Pachyramphus_versicolor",3.8528964510805,"Pachyramphus versicolor","Pachyramphus versicolor","Pachyramphus_versicolor"
"180","Pachysylvia_hypoxantha",8.55844221527195,"Hylophilus hypoxanthus","Hylophilus hypoxanthus","Hylophilus_hypoxanthus"
"181","Pheucticus_aureoventris",1.79799399309442,"Pheucticus aureoventris","Pheucticus aureoventris","Pheucticus_aureoventris"
"182","Philydor_erythrocercum",9.21242989802453,"Philydor erythrocercum","Philydor erythrocercum","Philydor_erythrocercum"
"183","Phyllomyias_cinereiceps",6.3359120829082,"Phyllomyias cinereiceps","Phyllomyias cinereiceps","Phyllomyias_cinereiceps"
"184","Phylloscartes_ophthalmicus",7.21600322890214,"Pogonotriccus ophthalmicus","Phylloscartes ophthalmicus","Phylloscartes_ophthalmicus"
"185","Phylloscartes_poecilotis",1.5833710301453,"Pogonotriccus poecilotis","Phylloscartes poecilotis","Phylloscartes_poecilotis"
"186","Phylloscartes_ventralis",3.56382825951045,"Phylloscartes ventralis","Phylloscartes ventralis","Phylloscartes_ventralis"
"187","Piaya_cayana",5.55453640643269,"Piaya cayana","Piaya cayana","Piaya_cayana"
"188","Piculus_leucolaemus",0.860648148148148,"Piculus leucolaemus","Piculus leucolaemus","Piculus_leucolaemus"
"189","Pipra_fasciicauda",3.03982131158602,"Pipra fasciicauda","Pipra fasciicauda","Pipra_fasciicauda"
"190","Pipraeidea_melanonota",1.9869861140632,"Pipraeidea melanonota","Pipraeidea melanonota","Pipraeidea_melanonota"
"191","Pipreola_intermedia",2.23393697362685,"Pipreola intermedia","Pipreola intermedia","Pipreola_intermedia"
"192","Piranga_flava",3.02530972368381,"Piranga flava","Piranga flava","Piranga_flava"
"193","Piranga_leucoptera",1.14383357425331,"Piranga leucoptera","Piranga leucoptera","Piranga_leucoptera"
"194","Piranga_olivacea",2.18728909756476,"Piranga olivacea","Piranga olivacea","Piranga_olivacea"
"195","Poecilotriccus_albifacies",4.04207549002434,"Poecilotriccus albifacies","Poecilotriccus albifacies","Poecilotriccus_albifacies"
"196","Poecilotriccus_latirostris",2.18072917600483,"Poecilotriccus latirostris","Poecilotriccus latirostris","Poecilotriccus_latirostris"
"197","Poecilotriccus_plumbeiceps",2.79137362637363,"Poecilotriccus plumbeiceps","Poecilotriccus plumbeiceps","Poecilotriccus_plumbeiceps"
"198","Premnoplex_brunnescens",0.429296483809948,"Premnoplex brunnescens","Premnoplex brunnescens","Premnoplex_brunnescens"
"199","Premnornis_guttuliger",0.656768951946634,"Premnornis guttuliger","Premnornis guttuligera","Premnornis_guttuligera"
"200","Pseudocolaptes_boissonneautii",6.88731609744598,"Pseudocolaptes boissonneautii","Pseudocolaptes boissonneautii","Pseudocolaptes_boissonneautii"
"201","Pseudospingus_xanthophthalmus",4.57599127797365,"Hemispingus xanthophthalmus","Hemispingus xanthophthalmus","Hemispingus_xanthophthalmus"
"202","Pygiptila_stellaris",9.25343951762108,"Pygiptila stellaris","Pygiptila stellaris","Pygiptila_stellaris"
"203","Pyrrhomyias_cinnamomeus",8.93820963431245,"Pyrrhomyias cinnamomeus","Pyrrhomyias cinnamomeus","Pyrrhomyias_cinnamomeus"
"204","Ramphocelus_carbo",5.93295638191802,"Ramphocelus carbo","Ramphocelus carbo","Ramphocelus_carbo"
"205","Ramphotrigon_fuscicauda",5.93420463434151,"Ramphotrigon fuscicauda","Ramphotrigon fuscicauda","Ramphotrigon_fuscicauda"
"206","Rauenia_bonariensis",3.02530972368381,"Thraupis bonariensis","Thraupis bonariensis","Thraupis_bonariensis"
"207","Rhynchocyclus_fulvipectus",1.34807843894233,"Rhynchocyclus fulvipectus","Rhynchocyclus fulvipectus","Rhynchocyclus_fulvipectus"
"208","Saltator_grossus",5.74294988004434,"Saltator grossus","Saltator grossus","Saltator_grossus"
"209","Saltator_maximus",9.48917259761597,"Saltator maximus","Saltator maximus","Saltator_maximus"
"210","Sclerurus_obscurior",3.40314000537983,"Sclerurus mexicanus","Sclerurus mexicanus","Sclerurus_mexicanus"
"211","Setophaga_pitiayumi",5.06854406630897,"Parula pitiayumi","Parula pitiayumi","Parula_pitiayumi"
"212","Sittasomus_griseicapillus",1.83278974896008,"Sittasomus griseicapillus","Sittasomus griseicapillus","Sittasomus_griseicapillus"
"213","Sphenopsis_melanotis",7.64879334340888,"Hemispingus melanotis","Hemispingus melanotis","Hemispingus_melanotis"
"214","Sporathraupis_cyanocephala",5.16058952444907,"Thraupis cyanocephala","Thraupis cyanocephala","Thraupis_cyanocephala"
"215","Stilpnia_cyanicollis",9.63940275804557,"Tangara cyanicollis","Tangara cyanicollis","Tangara_cyanicollis"
"216","Synallaxis_azarae",4.50605420260936,"Synallaxis azarae","Synallaxis azarae","Synallaxis_azarae"
"217","Syndactyla_ucayalae",2.68374283120324,"Simoxenops ucayalae","Simoxenops ucayalae","Simoxenops_ucayalae"
"218","Tangara_arthus",10.4776775785725,"Tangara arthus","Tangara arthus","Tangara_arthus"
"219","Tangara_callophrys",1.68240740740741,"Tangara callophrys","Tangara callophrys","Tangara_callophrys"
"220","Tangara_chilensis",9.96731499223907,"Tangara chilensis","Tangara chilensis","Tangara_chilensis"
"221","Tangara_chrysotis",3.74892457979159,"Tangara chrysotis","Tangara chrysotis","Tangara_chrysotis"
"222","Tangara_cyanotis",1.61917078743298,"Tangara cyanotis","Tangara cyanotis","Tangara_cyanotis"
"223","Tangara_gyrola",8.8092268766513,"Tangara gyrola","Tangara gyrola","Tangara_gyrola"
"224","Tangara_mexicana",4.53937170484406,"Tangara mexicana","Tangara mexicana","Tangara_mexicana"
