Host.Family,BLFamilyLatin,species_clean,species_jetz,Mite.Group,Mite.Group2,sociality,foraging_cat,elevation_cat,TipLabel,Sample.Full..,keycol,valuecol
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather ,,0,ground,lowland_manu,Turdus_albicollis,P110144,Mite.Genus,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather,,0,ground,lowland_iquitos,Turdus_albicollis,M581,Mite.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather,,0,ground,lowland_manu,Turdus_albicollis,P110166,Mite.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather,Trombiculid,0,ground,lowland_manu,Turdus_albicollis,P110334,Mite.Genus2,
Turdidae,Turdidae,Turdus albicollis,Turdus albicollis,Feather ,,0,ground,lowland_manu,Turdus_albicollis,P110144,Mite.Genus2,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP110004,Mite.Genus,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP110038,Mite.Genus,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP110320,Mite.Genus,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP120062,Mite.Genus,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP120670,Mite.Genus,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP121022,Mite.Genus,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,Oribatida (?),1,other,montane_manu,Trichothraupis_melanops,SP120764,Mite.Genus,
Thraupidae,Thraupidae,Trichothraupis melanops,Trichothraupis melanops,Feather,,1,other,montane_manu,Trichothraupis_melanops,SP110004,Mite.Genus2,
