#No,Collection,Sample_group,Sample No. #,Full_Label,comment,Host Genus,Host Species,Host Order,Host Family,New Association,Lice Genus,Lice Species,Female,Male,Nimph,Eggs,Total,BoxLocation1,Lice Genus2,Lice Species2,Female2,Male2,Nimph2,Eggs2,Total2,BoxLocation2,Lice Genus3,Lice Species3,Female3,Male3,Nimph3,Eggs3,Total,BoxLocation3,total_lice
91,JUM,,V746,V746,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,1,1,1,,3,L-03,,,,,,,,,,,,,,,,,3
92,JUM,,V757,V757,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,No,Myrsidea,baileyae/edgarsmithi?,0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
93,JUM,,V789,V789,,Euphonia,xanthogaster,Passeriformes,Fringillidae,Yes,Myrsidea,(violacei/ rozsai…?),0,0,2,,2,L-03,,,,,,,,,,,,,,,,,2
94,JUM,,V806,V806,,Geotrygon,montana,Passeriformes,Columbidae,No,Columbicola,macrourae?,1,1,0,,2,L-03,Physconelloides,cubanus?,1,0,1,,2,L-03,,,,,,,,,4
95,JUM,,V808,V808,,Manacus,manacus,Passeriformes,Pipridae,No,Ricinus,pessimalis?,0,1,0,,1,L-03,,,,,,,,,,,,,,,,,1
96,JUM,,V812,V812,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,2,0,1,,3,L-03,,,,,,,,,,,,,,,,,3
97,JUM,,V813,V813,,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,2,0,,2,L-03,,,,,,,,,,,,,,,,,2
98,JUM,,V814,V814,,Pithys,albifrons,Passeriformes,Thamnophilidae,No,Myrsidea,mayermae?,1,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
99,JUM,,V820,V820,,Xiphorhynchus,elegans,Passeriformes,Furnariidae,Yes,Ricinus,new sp?,0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
100,JUM,,V821,V821,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Myrsidea,(milleri?),0,2,1,,3,L-03,,,,,,,,,,,,,,,,,3
101,JUM,,M826,M826,,Myrmoborus,myotherinus,Passeriformes,Thamnophilidae,Yes,Philopteridae?,new sp?,1,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
102,JUM,,M850,M850,,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,Yes,Myrsidea,(milleri?),0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
103,JUM,,M851,M851,,Hafferia,fortis,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,2,6,,8,L-03,,,,,,,,,,,,,,,,,8
104,JUM,,M860,M860,,Megastictus,margaritatus,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
105,JUM,,M866,M866,,Manacus,manacus,Passeriformes,Pipridae,No,Ricinus,pessimalis?,1,4,7,,10,L-03,,,,,,,,,,,,,,,,,10
106,JUM,,M867,M867,,Manacus,manacus,Passeriformes,Pipridae,No,Ricinus,pessimalis?,1,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
107,JUM,,M877,M877,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Myrsidea,dalgleishi?,0,0,1,,2,L-03,Rallicola,cephalosa?,0,1,0,,1,L-03,,,,,,,,,3
108,JUM,,M884,M884,,Lepidothrix,coronata,Passeriformes,Pipridae,Yes?,Ricinus,new sp?/contamination?,1,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
109,JUM,,890,890,,Manacus,manacus,Passeriformes,Pipridae,No,Ricinus,pessimalis?,5,2,1,,8,L-03,,,,,,,,,,,,,,,,,8
110,JUM,,892,892,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,6,1,1,,8,L-03,,,,,,,,,,,,,,,,,8
111,JUM,,897,897,,Manacus,manacus,Passeriformes,Pipridae,No,Myrsidea,pessimalis?,4,1,0,,5,L-03,,,,,,,,,,,,,,,,,5
112,JUM,,1007,1007,,Hafferia,fortis,Passeriformes,Thamnophilidae,Yes,Myrsidea,new sp?,0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
113,JUM,,1018,1018,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,1,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
114,JUM,,1012,1012,,Ceratopipra,erythrocephala,Passeriformes,Pipridae,No,Myrsidea,ricinus?,0,0,1,,1,L-03,,,,,,,,,,,,,,,,,1
115,JEJ,,P120085,P120085,,Formicarius,rufipectus,Passeriformes,Formicariidae,No,Formicaricola,analoides?,0,3,2,,5,L-03,,,,,,,,,,,,,,,,,5
116,JEJ,,W120733,W120733,,Chamaeza,mollissima,Passeriformes,Formicariidae,Yes,Formicaricola,(willisi?),1,2,3,,6,L-03,,,,,,,,,,,,,,,,,6
117,JEJ,,VC120112,VC120112,,Formicarius,analis,Passeriformes,Formicariidae,No,Formicaricola,analoides?,1,1,2,,4,L-03,,,,,,,,,,,,,,,,,4
118,JEJ,,P110171,P110171,,Sclerurus,caudacutus,Passeriformes,Furnariidae,No,Furnariphilus,parkeri?,1,0,0,,1,L-03,,,,,,,,,,,,,,,,,1
119,JUM,,1036,1036,,Automolus,subulatus,Passeriformes,Furnariidae,Yes,Myrsidea,(ochrolaemi?),2,2,3,,7,L-03,,,,,,,,,,,,,,,,,7
120,JEJ,,P115901,P115901,,Sclerurus,caudacutus,Passeriformes,Furnariidae,No,Furnariphilus,parkeri?,5,2,0,,7,L-03,,,,,,,,,,,,,,,,,7
121,JUM,,V1097,V1097,,Synallaxis,rutilans,Passeriformes,Furnariidae,Yes,Myrsidea,new sp./contamination?,0,1,0,,1,L-03,,,,,,,,,,,,,,,,,1
122,JUM,,1099,1099,,Glyphorynchus,spirurus,Passeriformes,Furnariidae,No,Rallicola,cephalosa?,2,2,0,,4,L-03,,,,,,,,,,,,,,,,,4
