#,Collection,Sample_Group,Sample No. #,Sample Full #,Host genus,Host species,Host Order,Host Family,Box Location,Mite Group,Mite Genus,Mite Species,Total,Mite Group2,Mite Genus2,Mite Species2,Total2,Comment,total_mites,,,,
159,JUM,V,V725,V725,Pithys,albifrons,Passeriformes,Thamnophilidae,,Feather,,,11,,,,,,11,,,,
160,JUM,,857,857,Formicarius,colma,Passeriformes,"Formicariidae
",,Feather,,,1,,,,,,1,,,,
161,JUM,V,V1297,V1297,Formicarius,colma,Passeriformes,"Formicariidae
",,Feather,,,6,,,,,,6,,,,
162,JUM,,968,968,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Feather,,,1,,,,,,1,,,,
163,JUM,,3576,3576,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Mesostigmatid,,,1,,,,,,1,,,,
164,JUM,,3609,3609,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Feather,,,1,,,,,,1,,,,
165,JUM,,4182,4182,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Feather,,,2,,,,,,2,,,,
166,JUM,,3810,3810,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Feather,,,1,,,,,,1,,,,
167,JUM,,4281,4281,Terenotriccus,erythrurus,Passeriformes,"Tityridae
",,Feather,,,1,,,,,,1,,,,
168,JUM,,1022,1022,Willisornis,poecilinotus,Passeriformes,Thamnophilidae,,Feather,,,1,,,,,,1,,,,
169,JUM,,3837,3837,Dendrocincla,fuliginosa,Passeriformes,"Furnariidae
",,Feather,,,1,,,,,,1,,,,
170,JUM,V,V728,V728,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
171,JUM,V,V783,V783,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,,,,,,1,,,,
172,JUM,V,V729,V729,Deconychura,longicauda,Passeriformes,"Furnariidae
",,Mesostigmatid,,,1,,,,,,1,,,,
173,JUM,V,V730,V730,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,2,Mesostigmatid,,,1,,3,,,,
174,JUM,V,V733,V733,Lepidothrix,coronata,Passeriformes,Pipridae,,Feather,,,1,,,,,,1,,,,
175,JUM,V,V735,V735,Glyphorynchus,spirurus,Passeriformes,Furnariidae,,Feather,,,1,Mesostigmatid,,,2,,3,,,,
176,JUM,V,V737,V737,Gymnopithys,leucaspis,Passeriformes,Thamnophilidae,,Feather,,,6,,,,,,6,,,,
177,JUM,V,V738,V738,Megastictus,margaritatus,Passeriformes,Thamnophilidae,,Mesostigmatid,,,2,,,,,,2,,,,
