,sample,species,degree,w_degree,elevation
248,P121773,Myrmotherula_axillaris,84,7.364299375,414
249,P110226,Lepidothrix_coronata,10,0.853043121,438
250,P130047,Thamnomanes_ardesiacus,64,5.429327124,432
251,P115908,Myrmotherula_axillaris,57,5.801869935,397
252,P115960,Mionectes_macconnelli,27,2.73166171,397
253,SP110101,Chlorospingus_flavigularis,79,9.546871095,1387
254,W130445,Anisognathus_igniventris,31,4.755477215,3013
255,SP120890,Premnoplex_brunnescens,5,0.429296484,1395
256,P121757,Isleria_hauxwelli,18,1.42312775,414
257,SP110036,Trichothraupis_melanops,46,4.990517008,1387
258,P130050,Thamnomanes_ardesiacus,64,5.429327124,432
259,P121467,Thamnophilus_schistaceus,52,5.128225931,398
260,SP120880,Chlorospingus_flavigularis,79,9.554253893,1376
261,P116022,Pipra_fasciicauda,25,2.789821312,415
262,P121262,Myrmotherula_axillaris,70,6.034045716,837
263,W130654,Sporathraupis_cyanocephala,38,4.845009457,2521
264,P110215,Isleria_hauxwelli,18,1.42312775,438
265,P121800,Isleria_hauxwelli,12,0.870708919,392
266,P110103,Pipra_fasciicauda,21,2.392178214,397
267,P130259,Myrmotherula_axillaris,82,7.285083689,410
268,P110422,Lepidothrix_coronata,9,0.603043121,422
269,P116336,Myrmotherula_longipennis,34,3.637043134,385
270,P116380,Tunchiornis_ochraceiceps,19,1.412786864,385
271,TL120082,Premnoplex_brunnescens,4,0.338387393,1735
272,P110179,Mionectes_oleagineus,60,4.53828808,438
273,P116007,Mionectes_oleagineus,42,3.428184251,397
274,P110307,Myrmoborus_myotherinus,49,5.12734746,410
275,SP110010,Sphenopsis_melanotis,61,6.811197435,1383
276,W120921,Kleinothraupis_atropileus,51,7.176187748,2743
277,SP121215,Sphenopsis_melanotis,63,6.92557652,1418
278,W120445,Anisognathus_igniventris,37,5.270679565,2816
279,P110198,Mionectes_oleagineus,60,4.53828808,438
280,SP120101,Premnoplex_brunnescens,5,0.429296484,1362
281,P120659,Leptopogon_amaurocephalus,81,8.000399455,438
282,P121441,Cyanoloxia_cyanoides,11,1.05491296,385
283,SP110086,Myioborus_miniatus,83,9.778770471,1395
284,P110122,Ceratopipra_chloromeros,4,0.171811594,397
285,P110149,Myrmotherula_axillaris,84,7.364299375,413
286,TL120093,Chlorochrysa_calliparaea,58,8.358692249,1735
287,P110203,Mionectes_oleagineus,60,4.53828808,438
288,P115929,Automolus_melanopezus,20,1.736322145,397
289,SP121185,Myrmotherula_schisticolor,26,2.250404426,1418
290,SP121216,Myrmotherula_schisticolor,26,2.250404426,1418
291,SP120804,Premnoplex_brunnescens,5,0.429296484,1362
292,P110028,Pipra_fasciicauda,4,0.556017316,381
293,P116080,Isleria_hauxwelli,18,1.42312775,415
294,P115954,Myrmotherula_axillaris,57,5.801869935,397
295,P120685,Myrmotherula_menetriesii,70,6.685881126,415
296,P116013,Lepidothrix_coronata,9,0.603043121,415
297,P130765,Galbula_cyanescens,5,0.542421652,392
298,P110412,Ceratopipra_chloromeros,5,0.204069659,422
299,W120643,Kleinothraupis_atropileus,32,5.427662097,3013
300,P130355,Terenotriccus_erythrurus,7,0.390033069,415
301,P110373,Tangara_schrankii,83,8.742056951,414
302,W120924,Kleinothraupis_atropileus,51,7.176187748,2743
303,SP13006,Anabacerthia_striaticollis,67,8.122886626,1362
304,W130939,Anisognathus_igniventris,35,5.199170478,2973
305,W130118,Arremon_torquatus,10,0.555642463,2650
306,P110142,Automolus_ochrolaemus,74,6.057794909,413
307,W130234,Buthraupis_montana,40,5.679869177,2521
308,W130429,Chlorornis_riefferii,30,4.916645873,2995
309,W130700,Chlorornis_riefferii,44,6.185077763,2617
310,SP120036,Chlorospingus_flavigularis,79,9.546871095,1387
311,P116443,Cyanoloxia_cyanoides,11,1.05491296,397
312,P130219,Cyanoloxia_cyanoides,13,1.138794539,398
313,W130417,Kleinothraupis_atropileus,46,6.897701681,2833
