species_taxonomy_SACC_2021,deg_numeric,deg_weighted,species.x,species_jetz,TipLabel.x
Lathrotriccus_euleri,48,3.562581416,Lathrotriccus euleri,Lathrotriccus_euleri,Lathrotriccus_euleri
Legatus_leucophaius,11,0.774869159,Legatus leucophaius,Legatus_leucophaius,Legatus_leucophaius
Lepidocolaptes_lacrymiger,81,6.921243694,Lepidocolaptes lacrymiger,Lepidocolaptes_lacrymiger,Lepidocolaptes_lacrymiger
Lepidothrix_coronata,10,0.853043121,Lepidothrix coronata,Lepidothrix_coronata,Lepidothrix_coronata
Leptopogon_amaurocephalus,92,8.553338964,Leptopogon amaurocephalus,Leptopogon_amaurocephalus,Leptopogon_amaurocephalus
Leptopogon_superciliaris,111,10.01949443,Leptopogon superciliaris,Leptopogon_superciliaris,Leptopogon_superciliaris
Loriotus_cristatus,24,3.027159037,Tachyphonus cristatus,Tachyphonus_cristatus,Tachyphonus_cristatus
Loriotus_luctuosus,43,5.43609901,Tachyphonus luctuosus,Tachyphonus_luctuosus,Tachyphonus_luctuosus
Loriotus_rufiventer,126,10.20238979,Tachyphonus rufiventer,Tachyphonus_rufiventer,Tachyphonus_rufiventer
Malacoptila_fulvogularis,15,1.493573091,Malacoptila fulvogularis,Malacoptila_fulvogularis,Malacoptila_fulvogularis
Margarornis_squamiger,56,7.200257828,Margarornis squamiger,Margarornis_squamiger,Margarornis_squamiger
Mecocerculus_leucophrys,57,8.23013201,Mecocerculus leucophrys,Mecocerculus_leucophrys,Mecocerculus_leucophrys
Mecocerculus_stictopterus,65,8.70661462,Mecocerculus stictopterus,Mecocerculus_stictopterus,Mecocerculus_stictopterus
Melanerpes_cruentatus,19,5.485963665,Melanerpes cruentatus,Melanerpes_cruentatus,Melanerpes_cruentatus
Metopothrix_aurantiaca,22,2.472188524,Metopothrix aurantiaca,Metopothrix_aurantiaca,Metopothrix_aurantiaca
Microrhopias_quixensis,49,4.394598439,Microrhopias quixensis,Microrhopias_quixensis,Microrhopias_quixensis
Microspingus_trifasciatus,26,3.233448254,Hemispingus trifasciatus,Hemispingus_trifasciatus,Hemispingus_trifasciatus
Mionectes_macconnelli,39,4.140692494,Mionectes macconnelli,Mionectes_macconnelli,Mionectes_macconnelli
Mionectes_oleagineus,62,4.771319754,Mionectes oleagineus,Mionectes_oleagineus,Mionectes_oleagineus
Mionectes_olivaceus,76,5.901747981,Mionectes olivaceus,Mionectes_olivaceus,Mionectes_olivaceus
Mionectes_striaticollis,107,8.999235138,Mionectes striaticollis,Mionectes_striaticollis,Mionectes_striaticollis
Monasa_morphoeus,68,7.765871343,Monasa morphoeus,Monasa_morphoeus,Monasa_morphoeus
Monasa_nigrifrons,25,3.148558251,Monasa nigrifrons,Monasa_nigrifrons,Monasa_nigrifrons
Myiarchus_cephalotes,12,1.096529111,Myiarchus cephalotes,Myiarchus_cephalotes,Myiarchus_cephalotes
Myiarchus_tuberculifer,23,2.375133237,Myiarchus tuberculifer,Myiarchus_tuberculifer,Myiarchus_tuberculifer
Myiobius_barbatus,19,2.079535399,Myiobius barbatus,Myiobius_barbatus,Myiobius_barbatus
Myioborus_melanocephalus,69,8.183346828,Myioborus melanocephalus,Myioborus_melanocephalus,Myioborus_melanocephalus
Myioborus_miniatus,119,10.67468762,Myioborus miniatus,Myioborus_miniatus,Myioborus_miniatus
Myiodynastes_maculatus,12,2.149547788,Myiodynastes maculatus,Myiodynastes_maculatus,Myiodynastes_maculatus
Myiopagis_gaimardii,32,4.409717644,Myiopagis gaimardii,Myiopagis_gaimardii,Myiopagis_gaimardii
Myiophobus_fasciatus,14,1.545578387,Myiophobus fasciatus,Myiophobus_fasciatus,Myiophobus_fasciatus
Myiophobus_inornatus,17,1.82012555,Myiophobus inornatus,Myiophobus_inornatus,Myiophobus_inornatus
