...1.x,species_taxonomy_SACC_2021.x,n.x,species,species_jetz,notes_taxonomy.x.x,WJSpecID,TipLabel,PatchClade,Hackett_FineClades,Hackett_CoarseClades,English,FileName,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder,PassNonPass,OscSubOsc,...1.y,species_taxonomy_SACC_2021.y,n.y,notes_taxonomy.x.y,missmatches,status,
449,Penelope montagnii,102,Penelope montagnii,Penelope montagnii,NA,153,Penelope_montagnii,Cracidae,"Curassows, Chacalacas, Guans","Curassows, Chacalacas, Guans",Andean Guan,bow00153,LC,BL3,Cracidae,Guans and curassows,8,GALLIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
450,Phaethornis guy,230,Phaethornis guy,Phaethornis guy,NA,2462,Phaethornis_guy,Trochilidae,Hummingbirds,Hummingbirds,Green Hermit,bow02462,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
451,Phaethornis hispidus,91,Phaethornis hispidus,Phaethornis hispidus,NA,2471,Phaethornis_hispidus,Trochilidae,Hummingbirds,Hummingbirds,White-bearded Hermit,bow02471,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
452,Phaethornis koepckeae,54,Phaethornis koepckeae,Phaethornis koepckeae,NA,2474,Phaethornis_koepckeae,Trochilidae,Hummingbirds,Hummingbirds,Koepcke's Hermit,bow02474,NT,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
453,Phaethornis malaris,4,Phaethornis malaris,Phaethornis malaris,NA,2469,Phaethornis_malaris,Trochilidae,Hummingbirds,Hummingbirds,Great-billed Hermit,bow02469,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
454,Phaethornis ruber,65,Phaethornis ruber,Phaethornis ruber,NA,2483,Phaethornis_ruber,Trochilidae,Hummingbirds,Hummingbirds,Reddish Hermit,bow02483,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
455,Phaethornis stuarti,16,Phaethornis stuarti,Phaethornis stuarti,NA,2484,Phaethornis_stuarti,Trochilidae,Hummingbirds,Hummingbirds,White-browed Hermit,bow02484,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
456,Phaethornis superciliosus,121,Phaethornis superciliosus,Phaethornis superciliosus,NA,2465,Phaethornis_superciliosus,Trochilidae,Hummingbirds,Hummingbirds,Long-tailed Hermit,bow02465,LC,BL3,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
457,Pharomachrus antisianus,32,Pharomachrus antisianus,Pharomachrus antisianus,NA,1422,Pharomachrus_antisianus,Trogonidae,Trogons,Trogons,Crested Quetzal,bow01422,LC,BL3,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
458,Pharomachrus auriceps,163,Pharomachrus auriceps,Pharomachrus auriceps,NA,1424,Pharomachrus_auriceps,Trogonidae,Trogons,Trogons,Golden-headed Quetzal,bow01424,LC,BL3,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
459,Pharomachrus pavoninus,12,Pharomachrus pavoninus,Pharomachrus pavoninus,NA,1425,Pharomachrus_pavoninus,Trogonidae,Trogons,Trogons,Pavonine Quetzal,bow01425,LC,BL3,Trogonidae,Trogons,81,TROGONIFORMES,NONPASSERIFORMES,NONPASSERIFORMES,NA,NA,NA,NA,NA,include,
460,Pheucticus aureoventris,3,Pheucticus aureoventris,Pheucticus aureoventris,NA,13274,Pheucticus_aureoventris,P12,"Cardinals, Allies","Cardinals, Allies",Black-backed Grosbeak,bow13274,LC,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
461,Pheucticus chrysogaster,1,Pheucticus chrysogaster,Pheucticus chrysogaster,NA,13272,Pheucticus_chrysogaster,P12,"Cardinals, Allies","Cardinals, Allies",Golden-bellied Grosbeak,bow13272,LC,BL3,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA,NA,NA,include,
